City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,57.88,heavy intensity rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1,Arlit,NE,97.2,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
2,Kaitangata,NZ,37.58,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
4,Varkaus,FI,64.51,overcast clouds,62.3153,27.873,Hotel Oscar
5,Port Elizabeth,ZA,58.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
6,Akyab,MM,80.8,overcast clouds,20.15,92.9,Hotel Memory
7,Barrow,US,34.45,overcast clouds,71.2906,-156.7887,King Eider Inn
8,Katsuura,JP,84.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
9,Sao Sebastiao,BR,69.39,clear sky,-23.76,-45.4097,Hotel Recanto dos Pássaros
10,Sitka,US,60.69,overcast clouds,57.0531,-135.33,Westmark Sitka
11,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Hermanus,ZA,58.8,moderate rain,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Punta Arenas,CL,42.91,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
14,Rikitea,PF,74.37,clear sky,-23.1203,-134.9692,People ThankYou
15,Mar Del Plata,AR,50.02,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Turukhansk,RU,55.92,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
17,Hithadhoo,MV,80.71,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Beaufort,MY,80.76,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
19,Chuy,UY,65.41,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
20,Tuktoyaktuk,CA,48.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
21,Upernavik,GL,41.99,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
22,Bredasdorp,ZA,60.12,light rain,-34.5322,20.0403,Bredasdorp Country Manor
