City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,57.88,90,75,8.99,heavy intensity rain
1,Arlit,NE,18.7369,7.3853,97.2,21,100,11.25,overcast clouds
2,Kaitangata,NZ,-46.2817,169.8464,37.58,85,97,9.08,overcast clouds
3,Nioro,GM,13.35,-15.75,77.61,87,100,7.02,overcast clouds
4,Varkaus,FI,62.3153,27.873,64.51,97,100,4.54,overcast clouds
5,Port Elizabeth,ZA,-33.918,25.5701,58.1,81,100,8.46,overcast clouds
6,Akyab,MM,20.15,92.9,80.8,86,100,2.66,overcast clouds
7,Barrow,US,71.2906,-156.7887,34.45,91,100,9.86,overcast clouds
8,Katsuura,JP,35.1333,140.3,84.31,88,100,23.13,overcast clouds
9,Sao Sebastiao,BR,-23.76,-45.4097,69.39,73,2,1.86,clear sky
10,Sitka,US,57.0531,-135.33,60.69,72,90,4.61,overcast clouds
11,Hilo,US,19.7297,-155.09,78.53,74,90,4.61,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,58.8,92,100,21.54,moderate rain
13,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,13.8,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,74.37,75,2,12.26,clear sky
15,Mar Del Plata,AR,-38.0023,-57.5575,50.02,71,0,6.91,light rain
16,Turukhansk,RU,65.8167,87.9833,55.92,63,15,7.76,few clouds
17,Hithadhoo,MV,-0.6,73.0833,80.71,76,100,4.38,overcast clouds
18,Beaufort,MY,5.3473,115.7455,80.76,90,68,2.55,broken clouds
19,Chuy,UY,-33.6971,-53.4616,65.41,81,100,4.05,overcast clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,76,90,10.36,overcast clouds
21,Upernavik,GL,72.7868,-56.1549,41.99,85,100,5.95,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,60.12,55,100,18.41,light rain
23,Dingle,PH,10.9995,122.6711,76.32,90,100,3.18,light rain
24,Saint George,US,37.1041,-113.5841,104.47,13,1,4.0,clear sky
25,Severo-Kurilsk,RU,50.6789,156.125,54.57,86,26,12.06,scattered clouds
26,Harnosand,SE,62.6323,17.9379,66.0,86,64,12.24,broken clouds
27,Albany,US,42.6001,-73.9662,88.14,51,18,5.19,few clouds
28,Erenhot,CN,43.6475,111.9767,70.36,42,32,12.84,scattered clouds
29,Rongcheng,CN,30.634,117.8517,76.33,90,58,2.59,broken clouds
30,Mataura,NZ,-46.1927,168.8643,36.48,99,91,3.2,overcast clouds
31,Nioki,CD,-2.7167,17.6833,80.02,42,88,0.4,overcast clouds
32,Mongo,TD,12.1844,18.693,74.73,84,97,3.44,overcast clouds
33,Sisimiut,GL,66.9395,-53.6735,43.2,83,98,4.81,overcast clouds
34,Butaritari,KI,3.0707,172.7902,82.99,64,42,10.6,scattered clouds
35,New Norfolk,AU,-42.7826,147.0587,44.74,85,31,2.68,scattered clouds
36,Ushuaia,AR,-54.8,-68.3,42.46,61,40,9.22,scattered clouds
37,Rawson,AR,-43.3002,-65.1023,50.81,38,0,7.29,clear sky
38,Busselton,AU,-33.65,115.3333,53.1,69,100,23.33,overcast clouds
39,Mehamn,NO,71.0357,27.8492,69.98,64,4,9.19,clear sky
40,Atuona,PF,-9.8,-139.0333,77.09,81,18,19.73,light rain
41,Panzhihua,CN,26.5851,101.7128,73.67,93,100,2.51,heavy intensity rain
42,Kavaratti,IN,10.5669,72.642,80.38,81,100,18.72,overcast clouds
43,Bellavista,PE,-7.0561,-76.5911,94.28,35,1,1.61,clear sky
44,Castro,BR,-24.7911,-50.0119,63.36,64,99,3.8,overcast clouds
45,Ishigaki,JP,24.3448,124.1572,82.76,82,78,2.39,broken clouds
46,Kurilsk,RU,45.2333,147.8833,52.3,90,100,15.93,overcast clouds
47,Pevek,RU,69.7008,170.3133,37.24,83,14,10.87,few clouds
48,Nikolskoye,RU,59.7035,30.7861,66.09,95,99,4.52,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,39.96,67,23,3.0,few clouds
50,Kahului,US,20.8947,-156.47,82.98,67,23,10.58,few clouds
51,Coihaique,CL,-45.5752,-72.0662,48.81,53,0,3.44,clear sky
52,Jamestown,US,42.097,-79.2353,85.01,59,1,4.0,clear sky
53,Kilindoni,TZ,-7.9139,39.6668,76.17,74,0,13.24,clear sky
54,Puerto Escondido,MX,15.85,-97.0667,88.63,58,40,12.66,scattered clouds
55,Juneau,US,58.3019,-134.4197,62.22,81,90,3.83,light rain
56,Saskylakh,RU,71.9167,114.0833,59.7,64,100,5.14,overcast clouds
57,Constitucion,CL,-35.3333,-72.4167,53.06,57,100,3.85,overcast clouds
58,Chokurdakh,RU,70.6333,147.9167,56.64,62,44,10.47,scattered clouds
59,Port Macquarie,AU,-31.4333,152.9167,49.96,68,100,3.49,overcast clouds
60,Yellowknife,CA,62.456,-114.3525,54.12,50,75,6.91,broken clouds
61,Esperance,AU,-33.8667,121.9,60.64,79,2,17.18,clear sky
62,Zhanaozen,KZ,43.3,52.8,93.97,13,0,7.76,clear sky
63,Puerto Ayora,EC,-0.7393,-90.3518,73.36,84,56,5.99,broken clouds
64,Vaini,TO,-21.2,-175.2,60.96,100,75,0.0,broken clouds
65,Berlevag,NO,70.8578,29.0864,66.0,67,0,4.61,clear sky
66,Williamsport,US,41.2412,-77.0011,90.36,42,8,5.37,clear sky
67,Coquimbo,CL,-29.9533,-71.3436,58.73,67,40,10.36,scattered clouds
68,Saint-Pierre,RE,-21.3393,55.4781,67.68,72,20,5.75,few clouds
69,Boueni,YT,-12.9025,45.0761,76.98,66,6,7.43,clear sky
70,Port Shepstone,ZA,-30.7414,30.455,68.29,44,0,9.78,clear sky
71,Nagato,JP,34.3833,131.2,78.71,95,100,32.01,light rain
72,Ribeira Grande,PT,38.5167,-28.7,75.6,73,75,14.97,broken clouds
73,Seoul,KR,37.5683,126.9778,76.44,86,0,5.75,clear sky
74,Souillac,MU,-20.5167,57.5167,69.37,100,75,3.44,moderate rain
75,Ilulissat,GL,69.2167,-51.1,37.4,96,100,8.55,overcast clouds
76,Vzmorye,RU,54.6961,20.2361,62.69,85,2,2.53,clear sky
77,Ahipara,NZ,-35.1667,173.1667,49.24,69,99,19.28,light rain
78,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.9,22,10,5.57,clear sky
79,Sao Filipe,CV,14.8961,-24.4956,79.16,83,34,7.63,scattered clouds
80,Udachnyy,RU,66.4167,112.4,48.94,90,20,3.29,few clouds
81,Dikson,RU,73.5069,80.5464,45.07,83,0,5.79,clear sky
82,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,21.85,few clouds
83,Pangnirtung,CA,66.1451,-65.7125,46.4,81,90,14.97,overcast clouds
84,Victoria,HK,22.2855,114.1577,85.32,90,100,9.98,moderate rain
85,Camopi,GF,3.1655,-52.3158,82.44,70,94,1.28,overcast clouds
86,Zyryanka,RU,65.75,150.85,57.29,69,12,7.54,few clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,98.51,67,100,4.0,overcast clouds
88,Port Alfred,ZA,-33.5906,26.891,61.84,84,100,17.83,overcast clouds
89,Beringovskiy,RU,63.05,179.3167,43.56,88,100,20.15,light rain
90,Emerald,AU,-23.5333,148.1667,48.34,53,0,5.75,clear sky
91,Zhezkazgan,KZ,47.8043,67.7144,70.57,34,0,17.76,clear sky
